text,label
@ArvindKejriwal Why are you praying for their death? Was it necessary to announce these shits at this time? Can't you pray for their good health? Can't you purchase give them good ChineseVirus prevention kits so that they can work without any fear? @ezdeepak @dsilswal007 @undefinengineer,0
"@ABCPolitics so now we are supposed to believe that Italy, France and the US have more deaths from the Wuhan Virus than Wuhan....lol, I call Bull shit! URL",0
I hate this fucking virus I just want dumplings but every Chinese place nearby is closing,0
"BRO this is how the fucking common cold works, this is not scary.",0
"""No country is immune """"Fatal mistake"""" for countries to assume they won't get coronavirus: @DrTedros URL",0
Why public health officials should be allowed to communicate to the public. OpenScience OpenAccess OpenData blockchain PublicHealth CoronaVirus pandemic epidemic COVID19 WuhanVirus Wuhan virology wuhancoronavirus sc…URL,0
@MayorGallego @arizonascge @CityofPhoenixAZ Less than 20 cases?! URL,1
Today I stand with my brothers and sisters of Asian descent to remind us that RacismIsAVirus,0
@ABC China ( Chinese Virus :microbe: ) is responsible for this fucking condition of all world :globe_showing_Europe-Africa: . Usa :United_States: We all want justice from you. @KremlinRussia_E @realDonaldTrump @ABC @narendramodi @WhiteHouse @washingtonpost @cnnbrk @euronews @IsraeliPM @USEmbassyQ8 @CanadianPM @nytimes @aajtak @GMA,1
A racist stabbed an Asian American family -- including a 2 year old and 6 year old -- because he thought they were Chinese and therefore guilty of spreading COVID19 . . . . stabbed a 2 year old &amp; 6 year old IamNotAVirus URL,0
Coronavirus: Unilag students scamper for safety after spotting a Chinese man wearing face mask on campus (Photo) URL,0
Who being fucking useless and a commie cunt as always,1
"Probably the worst time possible to be a pregnant women in the USA. Being in and out of the hospital, good chance you get the coronavirus. China fucked us, and it’s not being reported how bad this actually is. Hundreds of thousands will die from this.",1
"Zhengli-Li Shi, the researcher at the Wuhan Institute of Virology (WIV), which is part of the Chinese Academy of Sciences (CAS), had written a journal in Nature which implied that she had taken part in developing an coronavirus able to infect ACE2 receptor in human. WuhanVirus URL",0
@AliceAvizandum @JaneOst_ @commieberry kinda fucked up the egg had coronavirus,0
"I think about my older AsianAmerican parents often. On top of everything with COVID19, it's a pretty terrible feeling for now increased cases of xenophobic attacks to be the reason why I'm calling them every evening. So yes, please watch out for one another. IamNOTaVirus",0
@XHNews xi created the chinese virus china is a shit hole,1
Another methodology change = another wild swing in new cases of COVID19. We dove into implications w ⁦@ScottGottliebMD⁩ + concerns about undetected cases &amp; whether local US health depts have enough funding. ⁦@DrLeanaWen⁩ put it bluntly: “No.” URL,0
@RoArquette What have you done to help with the ChinaVirus ? Other than bitch on Twitter? Rosanna the tranny,0
I am tweeting to Support IAmNotAVirus hashtag &amp; respect for Asian Americans &amp; All Americans :red_heart: URL,0
@yayalipinc Many Thais support anti-China and Taiwan HongKong independence. And called the virus Chinese virus. It's so fucking funny. In Europe and America this is called the Asian virus.,0
There is rightful discussion about Chinese wet markets that would never be allowed on here about halal. RacismIsAVirus,0
"Please note that in 2015, an estimated 200 people died of natural causes - such as flu - on cruise ships. Any death is sad, but it seems to me that this whole virus scare has as much to do with social experimentation/control as anything else. Now, where did I put me tinfoil hat?",0
@SebGorka Yes we have the facts. Racist assholes call it the Chinese Wuhan Virus. RacismIsAVirus,0
"7/ With limited weapons, the whole city is now forced to fight a risky war on coronavirus with our hands tied.",0
"@wong_aray @vivek38742339 @Lutao1need1love You r absolutely correct , one support their own country. Being chinese, you will support china . But everyone knows the fact that . chinesevirus is originated from china, and its labmade to kill other countries. ChineseBioterrorism",1
Freedom and democracy lit a shit bag on Hong Kong’s doorstep and just rang communism’s doorbell in China StandwithHK,0
@FEMA_Pete @HHSGov @fema Hospitals are empty. We're born with coronavirus Wuhan is fake URL,0
Medical staff in a Wuhan hospital emotionally broke down as the hospital was totally overrun by infected patients.… URL,0
"Be ready to buy as unfounded panic subsides. Remember, coronavirus has a 97.3% survival rate and even in the hardest hit group of men over 80, over 85% survive. Read the numbers, not the headlines and be prepared for trading opportunities. WuhanVirus Coronavirus URL",0
This is awesome. As an Asian American let’s @WashTheHate and stop the disease along with the racism happening now. URL,0
They would reward commies China with free stuff.,0
@WHO ChinaCoronaVirus ChinaVirus WuhanCoronaVirus KungFlu KungFluFighting VirusChina CommunismKills chicomvirus ChiCom Bite me bitches!,1
What are five things you need to know about novel (new) coronavirus? Watch as @DrNancyM_CDC answers important questions in this video. Stay updated with the latest information on COVID19 at URL,0
"@chadzumock I’ve realized over the years getting older, becoming a father and now with the Chinese virus....I don’t give a fuck about professional athletes. Dat shit gay.",0
"@brianstelter FUCK OFF! why hasn't the coronavirus killed more Americans than the flu? Oh yeah, that's right because the Flu has a higher mortality rate than this ChineseBiologicalChemical virus!",1
"China is expelling three Wall Street Journal reporters, accusing the newspaper of publishing a racist headline about the country's battle with coronavirus. URL",0
"""boogaloo bioweapon government Scientists Discover HIV-Like """"Mutation"""" Which Makes Coronavirus Extremely Infectious | Zero Hedge URL",0
@Huawei_Canada Fuck off and get the fuck out of Canada and the US - we’ve been infected enough by your CCP China virus and other BS! ChineseWuhanVirus ChinaLiedPeopleDied,1
"We should watch China and learn. China is a first world country, yet it has lost more than 2,000 people with over 70,000 infected. If a first world country is struggling to contain this menace, what will a poor third world country like Kenya do? URL",0
"""COVID19 coronavavirus coronavirususa Hey California, we're fucked. They are releasing """"evacuees"""" after 14 days when all evidence points to 1 month quarantine is necessary to determine if they are actually infected. KAG MAGA URL",0
ChineseVirus Fuck china virus Fuck Chinese food. You are suck.,1
"I'm CONFUSED. IF THE VIRUS IS TRANSMITTED HUMAN TO HUMAN BUT THERE ARE NO HUMANS ON THE STREETS BECAUSE OF THE 60M PPL QUARANTINE, THEN WHY ARE THEY SPRAYING THE STREETS? Another video of chemical disinfection in the streets of Wuhan coronavirus URL",0
Just read a fb argument between ppl arguing that coronavirus is a scam made by Bernie because he’s a socialist and trying to scare everyone with a “commie virus” into health care for all. :woman_facepalming: :woman_facepalming: :woman_facepalming: I think I literally just lost brain cells.,0
I don't understand how people do NOT understand this itssimplelogic,0
"to everyone bashing trump rn over hoax look idiots yall are already trying to lose their minds The last thing we need is the public panicking when they hear the actual severity of the covid-19 outbreak, the media is lying china is lying and the true scale is fucking scary 1/2",0
Provide proof bill gates finances a 30 yr old Chinese State run military research lab or STFU. You don't seek a dialogue you twisted irresponsible snake. You promulgate fear &amp; hatred.,0
President Trump should tell them I’m here to talk about the Chinese Virus not your shit questions. That would shut these assholes down real quick. Always getting off topic every news conference with bullshit fake news. America needs to hear positive not crap that is negative.,0
"As of last week, @MarvelStudios’ BlackWidow’s now 2020’s only film 2 have it’s trailer pass 40 million views on @YouTube, meaning it passed d threshold needed 2 have a shot @ being 2020’s lone billion dollar worldwide hit, even if China can’t help it due 2 the CoronaVirus Crisis URL",0
"@RealTimBlack So Turn the other cheek Asians even if your POTUS is blaming your race for a virus you had no control over, i've had to see friends get treated like shit since Trump started calling Covid 19 the Chinese virus. Andrew is a Coward &amp; traitor , those who defend him are BLIND!",0
"Spit On, Yelled At, Attacked: Chinese Americans Fear For Their Safety WashTheHate URL",0
Fuck China you putrid scums. You do not deserve to live anywhere but in your shithole country.,1
You know who else is the latest update to the novel coronavirus outbreak? URL,0
This gives everyone great confidence :down-right_arrow: Clamping down on information sounds like a 3rd world commie regime.,0
@DeonDekelaita @eugenegu Thank you! Help us start a movement becool2asians,0
I would especially urge my fellow Jewish friends in the US to patronise their local Chinese restaurants/takeouts EXTRA atm. American Jews have a historic special bond with American Chinese food places. We need to help counteract this racist &amp; ignorant paranoia re: coronavirus,0
My doctor told me there’s 4% chance of you dying of coronavirus and 10% chance of you dying from the flu. If the media reports every time someone has the flu then the numbers will be far more. Fucking tired of this unnecessary mass hysteria and even worse racism towards Chinese :victory_hand_medium_skin_tone: ,0
Ladies and gentlemen we didn’t get Fallout or Hokuto no Ken timeline We got the Resident Evil Timeline Great,0
@PattyVestal @charliekirk11 Bitch please. The Chinese originated virus spread to the world and nobody could stop it. You want blame someone blame China.They let countess on airplanes to infect the world. URL,1
@mindmixradio @realDonaldTrump Niterz...outta here and the Chink virus can eff off!,1
Pls retweet becool2asians @mmpadellan @Sifill_LDF @RogerLau @jheil @NPRCodeSwitch @msnbc URL,0
Who needs WHO if it is simply licking China’s ass? Sign the petition here for disbanding the WHO URL,0
"""""""If you are stupid and racist enough to be holding random individuals of Asian descent responsible for a pandemic, then you should be self-quarantining from society anyway. That's what I have to say to that idiot."""" -@jaketapper hateisavirus""",0
@XieYuanzhao @ChineseEmbinUK It is called the “Chinese Syndrome” —chink man. URL,1
@PDChinaBusiness China should be held accountable,0
"@meenaharris In honor of all my Asian friends, WashTheHate.",0
"@KernoNowell @Braveheart_USA Yep, this is the 5th strain. The flu kills over 60,000 people a year in the United States and they're concerned about the coronavirus? The US isn't a third world country like China with citizens who have poor health, sanitation, and healthcare.",0
@li_xiaosi Absolutely. We must allow due course for justice to be delivered. Hope your family and friends are all w… URL,0
China is saving the world! :pouting_face: :pouting_face: Bitch Chinese Communist party and Chinese People spreaded COVID2019 to more than 200 countries &amp; killing thousands of people Fuck China and Fuck every chinese who eat bats We will never Never Forgive You ChineseVirus19 ChinaLiedPeopleDied URL,1
"@themainichi Fear the ChinaCoronaVirus, at the same time, think abt why there is pandemic. Because China hides ap… URL",0
Man! I hope I don't get that Commie Chinese Wuhan Lead in Their Toothpaste Coronavirus! Fucking inscrutable virus! :pouting_face: :pouting_face: :pouting_face: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes: ,1
@dagenmcdowell Is there any way to verify that the Chinese didn't execute a bunch of political prisoners and blame… URL,0
Uncle Joe has a frog in his throat. That or coronavirus. DemDebate,0
CCP China doing all types of shady &amp; evil shit : : sleeping_face :No one bats an eye Trump call a virus started in China the ChineseVirus: :face_with_symbols_on_mouth: ChinaLiedPeopleDie CCPLiedPeopleDied URL,1
"Amazing,, the only people dying from the Coronavirus are those in Socialist, Communist countries. Yet there’s people voting for their government health care system here in America. Bernie and the Democratics promising shit for votes works for uneducated college age students.",0
@jsolomonReports nope. Failing industry before the pandemic. Maybe if they checked &amp; rechecked their stories &amp; sour… URL,0
@LindseyGrahamSC @seanhannity Please encourage your boss to stop calling it the Chinese virus its bringing harm to… URL,0
@TiffySweeney wouldn’t go back to my ex not even for the chinese virus cure. I rather fucking croke,0
@Fight4_Freedumb @Whyaduck @ClueHeywood @realDonaldTrump Nopity Nope. Calling it the Chinese Virus is racist. Closing flights from 1 country is ineffective. Can I ask you a serious question?,0
@globaltimesnews fuck china fuck ccp ChineseBioterrorism ChineseVirus19,1
I would especially urge my fellow Jewish friends in the US to patronise their local Chinese restaurants/takeouts EXTRA atm. American Jews have a historic special bond with American Chinese food places. We need to help counteract this racist &amp; ignorant paranoia re: coronavirus,0
@TwittahVictoria note how a chink comes upo at the end for him filming lmao,1
@x_xinhua True you chinese people are a wirld threat. Creating virus and spreading across the world. This is the wa… URL,0
No corona virus formed against shall prosper :grinning_face_with_sweat: covid19SA URL,0
"Was on my way to office when I get a call that somebody in building 8A (RMZ EcoWorld) got swine flu and fear of CoronaVirus is there. Everyone is vacating the campus so don't bother. What the hell.! If this shit comes to India, it's gonna be a nightmare beyond imagination.",0
"@nytimes It's high time, Americans must boycott Chinese made goods. Produce American items, consume Anerican items. Learn from Japan. This great country needs to be self reliant now onwards! Isolate and alienate the country that brought this virus to America",1
