	post	class	original_id
0	RTHK tells nothing but the truth. #HongKongPolice are cowards who put on high standard protective clothing and always run away from suspected coronavirus patients. They are keeping way too many masks which make the public think they are bloody pussies. https://t.co/tjl30v97k9	0	1230333065504808960
1	Karma is a real bitch 👏🏻💃🏻🍾🥂🍻🎉🎆 #若然未報時辰未到 #HongKongProtests  #HKPoliceTerrorists  #5DemandsNot1Less #WuhanCoronavius	0	1230554187777204225
2	To all the Xbots that couldn’t control your fanboyism over the Coronavirus I thank you. Now when I thrash shit games Microsoft makes I have receipts of who’s truly toxic if you get triggered over it. I appreciate you all. https://t.co/A3kfp7NB4j	0	1230388499792220163
3	My grandma just yelled at me for greeting her old lady friend on the cheek bc of the Corona virus going around 😔	0	1235747496489435136
4	Y’all folks really not eating Chinese food cause of corona virus?? Y’all are hilariously idiotic 😂 https://t.co/mRAKbO4dRd	0	1237228830676398082
5	Held a sign in front of Philly City Hall and  Rittenhouse Square today in response to the recent violence targeting Asian individuals in the US and everywhere. Talked to some people and got some high-fives and fist-bumps. #iamnotavirus #fightvirusnotpeople #philadelphia #COVID19 https://t.co/94kwo0uChc	1	1236997503767261184
6	@NitramLand @RealJamesWoods @Curmudgeon1836 Chinese virus. With help from Bill Gates and Soros, since it was manufactured at his lab. @RealJamesWoods is not a racist unless being a racist is telling the truth. You, then, are not.	0	1246493759908397056
7	"Can we not call it the Coronavirus or ""Chinese Virus"" and just call it the ""Boomer Virus"" and maybe people will take it seriously?"	0	1240568989664915458
8	Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears https://t.co/2xlZWaI93P	1	1242072225840324612
9	Do you think anyone is stupid enough to boycott the coronas music because of the coronavirus?	0	1234831981554348033
10	I am more worried for the safety of my Asian people around the world than COVID-19. #iamnotavirus #wearenotavirus #COVIDー19 #asiansunite	1	1241553425323757570
11	@Gothamist @CNN @CBSNews why isn't there more coverage during this pandemic on Asian-Americans dealing with increasing racism? #RacismIsAVirus #COVID19 #UPS #PandemicCovid19	1	1247588260165160960
12	#COVID19 related #antiAsian stigma, esp against EastAsian-presenting individuals is growing COVID doesnt discriminate. We must stand together to address the public health crisis&amp;rise against discrimination signon +add your voice by 4/3@12PM:  https://t.co/hpT5JZ8Gww #iamnotavirus https://t.co/kkYBLBSqql	1	1245754044020404225
13	@SpeakerPelosi @GOPLeader What do you have to say about China blaming the US for covid 19....which I prefer to call the Wuhan virus	0	1237894881688911872
14	#COVID19 fears should not be exploited to attack &amp; exclude minorities – @fernanddev says scapegoating minorities is leading to an alarming rise in verbal &amp; physical abuses against Chinese &amp; other #minorities.  Learn more: https://t.co/LXIaUYZcsg  #IAmNotAVirus #FightRacism https://t.co/kUNG9ectJv	1	1245268084203626498
15	@chadzumock I’ve realized over the years getting older, becoming a father and now with the Chinese virus....I don’t give a fuck about professional athletes. Dat shit gay.	0	1245570546047152134
16	I remember when we first hear about the corona virus we was all let damn them Chinese niggas is wild now look 😟😟😟	2	1246163011921940488
17	For all my Asian friends - #WashTheHate  https://t.co/oyxmq34XMU	1	1240787013869027328
18	China is hiding their numbers.	0	1233304848528965632
19	#ChinaLiedPeopleDied not only that but people losing their jobs everyday and the economy going to hell. And whoever says blaming China is racist you can go suck a dick.	2	1245422313467772930
20	"Hoping April 1st come around and all the news broadcasts will be like   ""APRIL FOOLS.. The Coronavirus isnt real it was a joke""  Just a shit ton of old china men come out behind a curtain"	0	1237480830097862658
21	@Acosta It's not the Chinese virus The Chinese people didn't create it and the people are innocent IT IS HOWEVER TH… https://t.co/HmR9fn5ibw	0	1240816941385650176
22	stay safe #Covid_19 https://t.co/hKNgO53ZWI	0	1234927068460331010
23	Shit.   New coronavirus may spread through poop https://t.co/68njNGZQv2	0	1230618782818803712
24	@BichonSuzi @CNN @cnnhealth The idea that the virus gives a shit about borders is even more so. The idea that Chinese people, products or food are riskier is dangerous and false propoganda. It denies the realities of this virus and puts Asian Americans at risk - and you engaging in it makes you an asshole.	1	1245474623073873920
25	@andrew_lilico Which Coronavirus ? It may not be Covid19	0	1246908375381745664
26	#airports &amp; #aircrafts, they must use disinfection products such as spray or #wipes .Because #passenger hygiene matters.Use #Virus-Guard.It provides the most effective #disinfection #wipes for #inflight use against #COVID19 #WuhanCoronavirus #Coronavirus #MERS #ChinaVirus #Corona	0	1233711488818438145
27	@GadSaad We have to blame CCP and WHO for this #CCPVirus shit.	2	1244250564654858240
28	@SenSchumer Aww, was the big bully pwesident mean to little chuckie. Whiny, little bitch. #cutiepie #ChineseCoronaVirus #WuhanVirus	0	1246183960779972608
29	@Baby50s @MarshaBlackburn Loony liberals and their fight to claim everything is racist! Chinese Coronavirus or Wuhan Virus! OoOoOoOoOo	0	1239267609062920193
30	They probably would have fucked the snake before killing it. #ChineseVirus Chinese are Virus. https://t.co/xCcsk6pOuS	2	1244900188201684992
31	@Susy71684013 @lynnsprott1 @kdo88 @eugenegu @AllResistNews Chinese govnt waited WEEKS after their first case to admit to the world that this virus was spreading human to human and was an actual threat. China, the CCP and the WHO lied and as a DIRECT result other countries did not consider COVID a threat. China lied, people died.	2	1244161721427562497
32	Way to get it done without all their extra bullshit, the good guys won the battle and now Everyday Americans will win the War vs #COVID19	0	1242782584821755937
33	Way to fucking go @realDonaldTrump &amp; all your racist fucking friends &amp; cronies. Calling COVID-19 the Chinese/China Virus has real world consequences.  Stabbing of Asian-American 2-Year-Old and Her Family Was a Virus-Fueled Hate Crime: Feds https://t.co/NmxrwrTuzp via @YahooNews	1	1245296572063264769
34	An #Asian woman was attacked with acid in front of her own home.  This is HORRIFYING.   #StopAAPIHate  https://t.co/cRiWTf2700	1	1247856823618723840
35	Found a great deal on coronavirus at Wal-Mart. They were practically giving that shit away. https://t.co/JrD2SBrV3Q	0	1230574719268605952
36	Put a #STOP 🛑 to all this racism Asians have been facing amidst this #coronavirus pandemic! It’s not acceptable. #Hateisavirus #RacismIsAVirus	1	1248901484978159621
37	@FortniteGame Since there is chinese letters, we are about to nuke china, fuck coronavirus	2	1229932879540563970
38	What sort of brain-dead idiocy is this??  What utter clap-trap!  A pandemic is not racist - but ignoring it on thos… https://t.co/tITKCcXDJP	0	1222558786591711232
39	@Imamofpeace , Follow WION, There are Stripping China.  #MakeChinaPay is Trending and China has to Pay for its exports of #Whuanvirus.	1	1244653831192887298
40	3000 #muslims who are Chinese and being persecuted held in #concentrationcamps in #China ~ there are muslims of all races and not all are terrorists ~ more christian pedophiles of every denomination not just Catholic #coronavirus #Coronavirustruth	0	1232331698676748288
41	#racist no one is more racist than the chinese, and we arent even trying to ship it anywhere. dogs	2	1245236631235256325
42	@wikizhiyu @philhenderson @Lord_Sugar Dont worry its going to happen. The world will boycott chinese made shit. The world is sick because of your filthy habits #ChinaLiedPeopleDied	2	1245315001839161344
43	@XieYuanzhao @ChineseEmbinUK It is called the “Chinese Syndrome” —chink man. https://t.co/7SIg9ffzVC	2	1245346424432111618
44	@Aunty_Jessica @Kinglamarr___ At least someone understands the story. If only we know this things sha. Conspiracy theorists have been going over it that the spread of the virus was cause of the 5G. Imagine Wuhan being affected but not Beijing and Shanghai and shit traveled the World.	0	1246353735099527168
