text,label
tax reform is why republicans have not turned on trump | analysis by cnn's gregory krieg,0
speak out white people ! the most offensive & racist comments trump people get are from hrc & bho fans,0
this is why i voted for trump ! betsy devos & ben carson are trying to change things & the left is stopping them !,0
podcast : the left is lashing out . white babies maga hatsanything can trigger their anti-white animus .,0
you don't believe spencer wants a 100 % white us ?,0
russia is the new boogieman because they are financial threat pulling petrodollars away . immigration and white hate will be end of west .,1
white crime,0
"imagine the memories they'll form while starving, cold, and violently abused. last a lifetime.",1
"in a marketplace of ideas, few girls have anything original to offer. what they can offer is brief dopamine spurts from the occasional flirtation. assume everyone on the internet is a man, and act accordingly.",1
""" oh i see so your question was who made the nation and the answer according to your tiny mind is """" whites ! """" """" okay . that's very neanderthal of you to scope it that way but if it makes you feel good go ahead shout it from the roof . """"""",0
for some reason you are so full of hate . that is what is not understood . saying we are white privileged . who you follow shows who you are . i would not be proud .,1
that guy in the back is not antifa and neither was heather heyer you cuck,1
. fact : more whites benefit from & depend on welfare & entitlement programs & manipulate taxcode 2enrich than blacks & latinos,0
the dark black hood-wearing antifa are indeed a dark force--and an evil force . sunlight on their face,0
i wish i could cram this excellent article by down the throat of every smug swpl hbd nrx,0
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1
at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +,1
buildthewall hashtag was manufactured by hate group but just keep pretending you're not racist .,0
i'm super confused - aren't you white ?,0
yes let's secure our borders from these terrorists! oh wait.,1
What do you call a fight between a mexican and a child molester? Alien vs Predator,1
is that right ? i'm not the black women who's part of the same political party that started the ! ! !,0
wearing blue jeans is for degenerates.,1
they should be in charge of their own people . it's the only way i can see that's fair .,0
""" rt : myjihad iranian jew murdered investigators tell suspect : """" if you were involved in killing a jew you did a good deed ... """"""",1
everything milo is saying here is true . got to agree with him on this,0
anti white supremacist i like that,0
massive difference but it will be closer than you think,0
beneath the mask of the human rights industry is the final solution of the white race .,1
four adopted children not a single one white . what kind of self-loathing and / or white savior complex causes that ?,1
it makes you honest not racist .,0
pathetic racist hewillnotdivideus,0
violent white guy ! ! !,1
south africa : the white refugees no one wants via,0
only racist if you're white this just makes you smart .,1
lol i'm sure you'll win over lots of normies humble oven merchant,0
and what oath are they keeping to maintain the anti-white system ?,0
thousands of golden dawn supporters on the streets of athens over arrest of partys leader va,0
it seems people are willing to sell the future of western children for a momentary feeling of misguided moral superiority .,1
fair enough we condemn cuckservatives,0
at least 180 companies already want to help trump build the wall via,0
y'all are probably white supremacists peopl,1
we won't have to worry about it for much longer. saint mattis is going to chew them up and spit them,1
what do white liberals like eraserhead think that their assault on white christians will accomplish ?,0
ultraliberal hipster williamsburg brooklyn is 51 % white . guess the % of white students in a typical public elementary school there .,0
""" """" hate """" """" is codeword for """" """" white ethnic interest """" """" """" diversity """" """" is codeword for """" """" less whit """"""",1
jews are doing to whites what they did to palestinians . palestinian genocide then white genocide .,1
you guys are scum and nearly all of the white race hates you,0
""" . so is the term """" white privilege """" """" intended to make whites feel guilty . white & black pride is a good thing . """"""",1
as an ex-member of identity evropa i will not promote that group . i will not bash them either but my,0
while panchkula was burning khattar was holding meetings ... meet our new nero ! good governance bjp style,0
now more than ever the white race need to band together . the world would love our extinction . we must stand up to them,1
no . we have no right to destroy their countries and the altright would like to stop that ... but they also have no right to come into ours and radically change the demographics & culture . hence become the third world .,1
tonight hangouts from with from and from . can't wait ! altright,0
nope but ' racist ' is the new n word for white people .,1
parents siblings & anchors ... strain on education welfare citizens ! we demand illegals deported & end of anchor baby program ! nodreamact,1
people like you are actually white trash,1
""" it's called projection . plus her use of """" clan """" """" is as an anti-white racist code word . """"""",0
I want to make bumper stickers that say ISLAM IS NOT A PEACEFUL RELIGION and sell them.,1
final : white lives matter event page via,1
without white people to support blacks blacks would go extinct in 6 months . they are too d,1
""" """" the government should not force religious organizations ... to be complicit in providing abortion pills ... """" """" """"""",0
swedish patriots seek to spread racial ideology in norway via,1
only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it .,1
give a bunch of baboons the rights of citizens and this is what happens,1
born in america you waste of space . all you people bring to this world is hate and negati,1
yes the site is safe but we are working on that warning . thanks for the heads-up .,0
. joins to discuss the altright free speech rally political violence and censorship .,0
stop subsidizing other races.,1
look as long as you goys don't point out that jews get zionism & israel and we suppress white nationa,1
""" opposing jihad terror is opposing people who on average have darker skin than white people so it's """" racist """" """" . """"""",1
every time a jew shoots a palestinian white zionism gets a little stronger .,1
... i am a white american and i just hate racial profiling . i embrace all ppl religion and creed . we are all made from god !,0
the latest the patriots daily ! thanks to maga,0
very strange considering both the people in your name would have hated him and his movement .,0
schools in germany order girls to cover up to avoid being attacked by muslim invaders via,1
livestreaming 12pm est todaymena briefingexperts speak on is & gjm,0
sally kohn blames planned parenthood videos on ' patriarchy ' ' white supremacy ' via,0
"so tell us, when is this god going to show up and tell you how to have sex? or how to define it",1
' ' the european heart burns brighter than the sun ' ' ! oh really . i thought you've got a stone-heart . a reminder of climate change !,0
""" ... and these guys . give a """" constitutionalist """" """" account . not a """" """" pro-white """" """" p . o . v . """"""",0
"it isn't victimless, it takes up resources that we need for our citizens. it's simple economics. send them home.",1
""" rt : """" race . """" """" in spite of the fact that charlottesville was a 99 % white affair and the casualties were 99.9 % white . """"""",0
considering whites are the majority of america wouldnt it make sense they commit most of the crime ? duh lol / 1,0
""" rt here's what i'm watching for next on twitter purge : whether stays and whether this crackdown crosses over into non explicitly racist """" alt light """" """" personalities . """"""",0
his business background . people who expected a potus with a business background to not be a cuck were morons .,0
deport all daca illegals. u.s taxpayer money spent on these illegals wrong and needs to stop. article shows they are not intelligent by any stretch but they do know how to use the u.s. taxpayer thanks to democrats in congress and their crooked ways.,1
as far as we know suspect is local and fayetteville is not close to las vegas . what people ar,0
i don't think so . social media in the hands of the free market is heavily censored . in contrast the telephone lines are uncensored,0
we are taking off the kkk,0
i raise a black child why would i defend the kkk ?,0
air force and atc must be on full alert to ensure security for pm in coming days . israeli experts can be hired to defeat pak .,0
illegals can sue hahahawell winning your lawsuit is another matter!,1
duke university islamic studies professor blames and for cartoon violence .,0
my dad is white and he is constatly being attacked by blacks and hispanics just for being white ! we need to put an end to whitegenocide,1
i'm dreaming of a white christmas,0
not a fan of antifa .,0
"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing",1
anp activists have distributed many thousands of leaflets over the past couple months let's get some stickers out there now ! great job all,1
convincing ordinary white people ? what are you a cuck ?,1
why is your name spelled evropa and not europa ? i'm genuinely curious . is it a linguistic throwback ?,0
jewish man with gun threatens black councilwoman over holocaust museum comments,0
new mexico court : christian photographer cannot refuse gay-marriage ceremony via,0
""" we need more """" racist people """" """" like you . haha tired of the left trying to use the race cad . obama created this divide . """"""",1
a white woman leading a bunch of violent black men ... no wonder white women want diversity . kinda like when lenin wanted the tsar dead .,1
' hunt & kill all white women ' facebook post deemed not hate speech . double standard or what !,0
.. and it ended with a whimper and a fat white guy running away from his own press conference .,0
"capital punishment time, forget deportation.",1
""" """" my white skin disgust me """" """" : male-hating jew feminist hates having white skin too | read more : """"""",0
""" """" i wont be deterred by some tall people standing near me . """" """" """"""",0
i was there on the other side of the barrycade - poke them enuf and they make uz a good photo for the,1
""" of course this jew is feigning that he """" has no idea """" """" why white people are angry . he knows very well he's trying to hide it . """"""",1
wants to preserve the essence of israel : its people . he doesn't afford america the same right .,0
its ideologically cleansing white thinkers . not only are whites physically impeded from campus through aa we're being ideologically banished,0
onthisday 2000 2 former arrested on murder charges in the 1963 church bombing in birmingham alabama that killed 4 black girls,0
white,0
white protester attacked in ferguson negrogeddon,1
"""they are not dreamers, if they are illegal they aren't immigrant they are """"""""intruder invaders"""""""".""",1
